EmployeeNumber,Age,AgeBand,Gender,MaritalStatus,Department,JobRole,JobLevel,SeniorityBand,MonthlyIncome,MonthlyIncomeK,AnnualIncome,SalaryBand,Attrition,AttritionBinary,AttritionRiskScore,YearsAtCompany,TenureBand,YearsInCurrentRole,YearsSinceLastPromotion,PromotionRecency,YearsWithCurrManager,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,JobSatisfaction,JobSatisfactionLabel,EnvironmentSatisfaction,EnvironmentSatisfactionLabel,WorkLifeBalance,WorkLifeBalanceLabel,PerformanceRating,PerformanceLabel,OverTime,OvertimeBinary,BusinessTravel,DistanceFromHome,DistanceBand,Education,EducationField,StockOptionLevel,PercentSalaryHike,RelationshipSatisfaction,JobInvolvement
20,29,26-35,Female,Divorced,Research & Development,Manufacturing Director,3,Senior,9980,9.98,119760,High (6-10K),No,0,2.026,10,6-10 yrs,9,8,5+ yrs,8,1,10,1,1,Low,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,21,Far (16+),4,Life Sciences,1,11,3,4
21,32,26-35,Male,Divorced,Research & Development,Research Scientist,1,Junior,3298,3.3,39576,Medium (3-6K),No,0,2.217,6,6-10 yrs,2,0,Just Promoted,5,0,7,5,2,Medium,1,Low,2,Good,3,Excellent,Yes,1,Travel_Rarely,5,Near (1-5),2,Life Sciences,2,12,4,4
22,22,18-25,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,2935,2.94,35220,Low (<3K),No,0,1.155,1,0-2 yrs,0,0,Just Promoted,0,1,1,2,4,Very High,4,Very High,2,Good,3,Excellent,Yes,1,Non-Travel,16,Far (16+),2,Medical,2,13,2,4
23,53,46-55,Female,Married,Sales,Manager,4,Lead,15427,15.43,185124,Very High (10K+),No,0,1.377,25,20+ yrs,8,3,3-5 yrs,7,2,31,3,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),4,Life Sciences,0,16,3,2
24,38,36-45,Male,Single,Research & Development,Research Scientist,1,Junior,3944,3.94,47328,Medium (3-6K),No,0,0.964,3,3-5 yrs,2,1,1-2 yrs,2,5,6,3,4,Very High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,2,Near (1-5),3,Life Sciences,0,11,3,3
26,24,18-25,Female,Divorced,Research & Development,Manufacturing Director,2,Mid-Level,4011,4.01,48132,Medium (3-6K),No,0,1.795,4,3-5 yrs,2,1,1-2 yrs,3,0,5,5,3,High,1,Low,2,Good,3,Excellent,No,0,Non-Travel,11,Medium (6-15),2,Other,1,18,4,4
27,36,36-45,Male,Single,Sales,Sales Representative,1,Junior,3407,3.41,40884,Medium (3-6K),Yes,1,1.731,5,3-5 yrs,3,0,Just Promoted,3,7,10,4,1,Low,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,9,Medium (6-15),4,Life Sciences,0,23,2,2
28,34,26-35,Female,Single,Research & Development,Research Director,3,Senior,11994,11.99,143928,Very High (10K+),No,0,1.887,12,11-20 yrs,6,2,1-2 yrs,11,0,13,4,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),4,Life Sciences,0,11,3,3
30,21,18-25,Male,Single,Research & Development,Research Scientist,1,Junior,1232,1.23,14784,Low (<3K),No,0,1.002,0,0-2 yrs,0,0,Just Promoted,0,1,0,6,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,15,Medium (6-15),2,Life Sciences,0,14,4,3
31,34,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,2960,2.96,35520,Low (<3K),Yes,1,1.927,4,3-5 yrs,2,1,1-2 yrs,3,2,8,2,1,Low,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,6,Medium (6-15),1,Medical,0,11,3,3
32,53,46-55,Female,Divorced,Research & Development,Manager,5,Director,19094,19.09,229128,Very High (10K+),No,0,1.394,14,11-20 yrs,13,4,3-5 yrs,8,4,26,3,3,High,3,High,2,Good,3,Excellent,No,0,Travel_Rarely,5,Near (1-5),3,Other,1,11,4,3
33,32,26-35,Female,Single,Research & Development,Research Scientist,1,Junior,3919,3.92,47028,Medium (3-6K),Yes,1,2.195,10,6-10 yrs,2,6,5+ yrs,7,1,10,5,1,Low,2,Medium,3,Better,4,Outstanding,Yes,1,Travel_Frequently,16,Far (16+),1,Life Sciences,0,22,2,1
35,42,36-45,Male,Married,Sales,Sales Executive,2,Mid-Level,6825,6.82,81900,High (6-10K),No,0,1.504,9,6-10 yrs,7,4,3-5 yrs,2,0,10,2,2,Medium,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),4,Marketing,1,11,4,3
36,44,36-45,Female,Married,Research & Development,Healthcare Representative,3,Senior,10248,10.25,122976,Very High (10K+),No,0,1.407,22,20+ yrs,6,5,3-5 yrs,17,3,24,4,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),4,Medical,1,14,4,2
38,46,46-55,Female,Single,Sales,Manager,5,Director,18947,18.95,227364,Very High (10K+),No,0,2.07,2,0-2 yrs,2,2,1-2 yrs,1,3,22,2,1,Low,2,Medium,2,Good,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),4,Marketing,0,12,4,3
39,33,26-35,Male,Single,Research & Development,Laboratory Technician,1,Junior,2496,2.5,29952,Low (<3K),No,0,0.957,1,0-2 yrs,1,0,Just Promoted,0,4,7,3,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),3,Medical,0,11,4,3
40,44,36-45,Male,Married,Research & Development,Healthcare Representative,2,Mid-Level,6465,6.46,77580,High (6-10K),No,0,0.841,4,3-5 yrs,2,1,1-2 yrs,3,2,9,5,4,Very High,4,Very High,4,Best,3,Excellent,Yes,1,Travel_Rarely,10,Medium (6-15),4,Other,0,13,4,3
41,30,26-35,Male,Single,Research & Development,Laboratory Technician,1,Junior,2206,2.21,26472,Low (<3K),No,0,1.038,10,6-10 yrs,0,1,1-2 yrs,8,1,10,5,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,9,Medium (6-15),2,Medical,0,13,1,2
42,39,36-45,Male,Married,Sales,Sales Representative,2,Mid-Level,2086,2.09,25032,Low (<3K),Yes,1,0.617,1,0-2 yrs,0,0,Just Promoted,0,3,19,6,4,Very High,4,Very High,4,Best,3,Excellent,No,0,Travel_Rarely,5,Near (1-5),3,Technical Degree,1,14,3,3
45,24,18-25,Male,Married,Research & Development,Research Scientist,1,Junior,2293,2.29,27516,Low (<3K),Yes,1,1.517,2,0-2 yrs,0,2,1-2 yrs,0,2,6,2,4,Very High,2,Medium,2,Good,3,Excellent,Yes,1,Travel_Rarely,1,Near (1-5),3,Medical,1,16,1,3
46,43,36-45,Female,Divorced,Research & Development,Research Scientist,1,Junior,2645,2.64,31740,Low (<3K),No,0,1.164,5,3-5 yrs,3,1,1-2 yrs,4,1,6,3,3,High,4,Very High,2,Good,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),2,Medical,2,12,4,4
47,50,46-55,Male,Married,Sales,Sales Representative,1,Junior,2683,2.68,32196,Low (<3K),Yes,1,1.81,3,3-5 yrs,2,0,Just Promoted,2,1,3,2,3,High,1,Low,3,Better,3,Excellent,Yes,1,Travel_Rarely,3,Near (1-5),2,Marketing,0,14,3,2
49,35,26-35,Female,Married,Sales,Sales Representative,1,Junior,2014,2.01,24168,Low (<3K),No,0,0.77,2,0-2 yrs,2,2,1-2 yrs,2,1,2,3,4,Very High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),3,Marketing,0,13,1,3
51,36,36-45,Female,Married,Research & Development,Research Scientist,1,Junior,3419,3.42,41028,Medium (3-6K),No,0,1.967,1,0-2 yrs,1,0,Just Promoted,0,9,6,3,1,Low,2,Medium,4,Best,3,Excellent,Yes,1,Travel_Rarely,5,Near (1-5),4,Life Sciences,1,14,4,2
52,33,26-35,Female,Married,Sales,Sales Executive,2,Mid-Level,5376,5.38,64512,Medium (3-6K),No,0,1.71,5,3-5 yrs,3,1,1-2 yrs,3,2,10,3,1,Low,3,High,3,Better,3,Excellent,No,0,Travel_Frequently,1,Near (1-5),3,Life Sciences,2,19,1,4
53,35,26-35,Male,Divorced,Research & Development,Laboratory Technician,1,Junior,1951,1.95,23412,Low (<3K),No,0,0.964,1,0-2 yrs,0,0,Just Promoted,0,1,1,3,4,Very High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,4,Near (1-5),2,Other,1,12,3,3
54,27,26-35,Female,Divorced,Research & Development,Laboratory Technician,1,Junior,2341,2.34,28092,Low (<3K),No,0,1.507,1,0-2 yrs,0,0,Just Promoted,0,1,1,6,1,Low,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),4,Life Sciences,1,13,4,3
55,26,26-35,Male,Single,Research & Development,Laboratory Technician,1,Junior,2293,2.29,27516,Low (<3K),Yes,1,1.836,1,0-2 yrs,0,0,Just Promoted,1,1,1,2,3,High,1,Low,2,Good,3,Excellent,No,0,Travel_Rarely,25,Far (16+),3,Life Sciences,0,12,3,1
56,27,26-35,Male,Single,Sales,Sales Executive,3,Senior,8726,8.73,104712,High (6-10K),No,0,1.034,9,6-10 yrs,8,1,1-2 yrs,7,1,9,0,3,High,4,Very High,3,Better,3,Excellent,No,0,Travel_Frequently,8,Medium (6-15),3,Life Sciences,0,15,4,3
57,30,26-35,Female,Single,Research & Development,Laboratory Technician,2,Mid-Level,4011,4.01,48132,Medium (3-6K),No,0,0.973,12,11-20 yrs,8,3,3-5 yrs,7,1,12,2,4,Very High,3,High,3,Better,4,Outstanding,No,0,Travel_Frequently,1,Near (1-5),2,Medical,0,23,4,3
58,41,36-45,Female,Married,Research & Development,Research Director,5,Director,19545,19.55,234540,Very High (10K+),Yes,1,1.541,22,20+ yrs,15,15,5+ yrs,8,1,23,0,3,High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,12,Medium (6-15),3,Technical Degree,0,12,4,3
60,34,26-35,Male,Single,Sales,Sales Executive,2,Mid-Level,4568,4.57,54816,Medium (3-6K),No,0,1.533,9,6-10 yrs,5,8,5+ yrs,7,0,10,2,3,High,2,Medium,3,Better,4,Outstanding,No,0,Non-Travel,23,Far (16+),4,Marketing,0,20,3,3
61,37,36-45,Male,Married,Research & Development,Research Scientist,1,Junior,3022,3.02,36264,Medium (3-6K),No,0,1.716,1,0-2 yrs,0,0,Just Promoted,0,4,8,1,2,Medium,2,Medium,3,Better,4,Outstanding,No,0,Travel_Rarely,19,Far (16+),2,Life Sciences,0,21,1,3
62,46,46-55,Male,Single,Sales,Sales Executive,2,Mid-Level,5772,5.77,69264,Medium (3-6K),No,0,1.567,9,6-10 yrs,6,0,Just Promoted,8,4,14,4,4,Very High,1,Low,3,Better,4,Outstanding,Yes,1,Travel_Frequently,5,Near (1-5),4,Marketing,0,21,3,3
63,35,26-35,Male,Married,Research & Development,Laboratory Technician,1,Junior,2269,2.27,27228,Low (<3K),No,0,0.778,1,0-2 yrs,0,0,Just Promoted,1,1,1,2,4,Very High,4,Very High,3,Better,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),1,Life Sciences,0,19,4,4
64,48,46-55,Male,Single,Research & Development,Laboratory Technician,3,Senior,5381,5.38,64572,Medium (3-6K),Yes,1,1.803,1,0-2 yrs,0,0,Just Promoted,0,9,23,2,3,High,1,Low,3,Better,3,Excellent,Yes,1,Travel_Rarely,1,Near (1-5),2,Life Sciences,0,13,4,2
65,28,26-35,Male,Single,Research & Development,Laboratory Technician,1,Junior,3441,3.44,41292,Medium (3-6K),Yes,1,1.581,2,0-2 yrs,2,2,1-2 yrs,2,1,2,3,3,High,3,High,2,Good,3,Excellent,Yes,1,Travel_Rarely,5,Near (1-5),4,Technical Degree,0,13,3,3
68,44,36-45,Female,Divorced,Sales,Sales Executive,2,Mid-Level,5454,5.45,65448,Medium (3-6K),No,0,2.26,4,3-5 yrs,3,1,1-2 yrs,3,5,9,2,1,Low,2,Medium,2,Good,4,Outstanding,Yes,1,Travel_Rarely,1,Near (1-5),5,Marketing,1,21,3,3
70,35,26-35,Male,Married,Research & Development,Healthcare Representative,3,Senior,9884,9.88,118608,High (6-10K),No,0,1.951,4,3-5 yrs,0,2,1-2 yrs,3,2,10,3,1,Low,3,High,3,Better,3,Excellent,Yes,1,Non-Travel,11,Medium (6-15),2,Medical,1,13,3,2
72,26,26-35,Female,Married,Sales,Sales Executive,2,Mid-Level,4157,4.16,49884,Medium (3-6K),No,0,1.379,2,0-2 yrs,2,0,Just Promoted,0,7,5,2,4,Very High,3,High,2,Good,3,Excellent,Yes,1,Travel_Rarely,23,Far (16+),3,Marketing,1,19,3,2
73,33,26-35,Female,Single,Research & Development,Research Director,3,Senior,13458,13.46,161496,Very High (10K+),No,0,1.607,15,11-20 yrs,14,8,5+ yrs,12,1,15,1,4,Very High,1,Low,3,Better,3,Excellent,Yes,1,Travel_Frequently,1,Near (1-5),2,Life Sciences,0,12,3,3
74,35,26-35,Male,Married,Sales,Sales Executive,3,Senior,9069,9.07,108828,High (6-10K),No,0,2.119,9,6-10 yrs,8,1,1-2 yrs,8,1,9,3,1,Low,2,Medium,2,Good,4,Outstanding,No,0,Travel_Frequently,18,Far (16+),5,Life Sciences,1,22,4,3
75,35,26-35,Female,Married,Research & Development,Laboratory Technician,1,Junior,4014,4.01,48168,Medium (3-6K),No,0,1.993,2,0-2 yrs,2,2,1-2 yrs,2,3,4,3,1,Low,3,High,3,Better,3,Excellent,Yes,1,Travel_Rarely,23,Far (16+),4,Medical,1,15,3,3
76,31,26-35,Male,Divorced,Research & Development,Laboratory Technician,2,Mid-Level,5915,5.92,70980,Medium (3-6K),No,0,0.931,7,6-10 yrs,7,1,1-2 yrs,7,3,10,3,4,Very High,4,Very High,2,Good,4,Outstanding,No,0,Travel_Rarely,7,Medium (6-15),4,Life Sciences,1,22,4,3
77,37,36-45,Male,Divorced,Research & Development,Manufacturing Director,2,Mid-Level,5993,5.99,71916,Medium (3-6K),No,0,1.453,7,6-10 yrs,5,0,Just Promoted,7,1,7,2,3,High,1,Low,4,Best,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),4,Life Sciences,1,18,3,2
78,32,26-35,Male,Married,Research & Development,Manufacturing Director,2,Mid-Level,6162,6.16,73944,High (6-10K),No,0,1.6,9,6-10 yrs,8,7,5+ yrs,8,1,9,3,4,Very High,1,Low,3,Better,4,Outstanding,Yes,1,Travel_Rarely,1,Near (1-5),3,Medical,1,22,2,3
79,38,36-45,Female,Single,Research & Development,Laboratory Technician,2,Mid-Level,2406,2.41,28872,Low (<3K),No,0,0.91,10,6-10 yrs,3,9,5+ yrs,9,1,10,2,4,Very High,4,Very High,3,Better,3,Excellent,No,0,Travel_Frequently,29,Far (16+),5,Life Sciences,0,11,4,3
80,50,46-55,Female,Divorced,Research & Development,Research Director,5,Director,18740,18.74,224880,Very High (10K+),No,0,1.861,27,20+ yrs,3,13,5+ yrs,8,5,29,2,3,High,2,Medium,2,Good,3,Excellent,Yes,1,Travel_Rarely,7,Medium (6-15),2,Medical,1,12,4,2
81,59,55+,Female,Single,Sales,Sales Executive,3,Senior,7637,7.64,91644,High (6-10K),No,0,2.383,21,20+ yrs,16,7,5+ yrs,9,7,28,3,1,Low,1,Low,2,Good,3,Excellent,No,0,Travel_Rarely,25,Far (16+),3,Life Sciences,0,11,4,3
83,36,36-45,Female,Divorced,Research & Development,Healthcare Representative,3,Senior,10096,10.1,121152,Very High (10K+),No,0,1.308,17,11-20 yrs,14,12,5+ yrs,8,1,17,2,3,High,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,8,Medium (6-15),3,Technical Degree,3,13,2,3
84,55,46-55,Female,Divorced,Research & Development,Manager,4,Lead,14756,14.76,177072,Very High (10K+),No,0,1.228,5,3-5 yrs,0,0,Just Promoted,2,2,21,2,3,High,4,Very High,3,Better,3,Excellent,Yes,1,Travel_Rarely,8,Medium (6-15),3,Medical,3,14,3,3
85,36,36-45,Male,Single,Research & Development,Manufacturing Director,2,Mid-Level,6499,6.5,77988,High (6-10K),No,0,1.688,6,6-10 yrs,5,0,Just Promoted,3,1,6,3,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Travel_Frequently,11,Medium (6-15),3,Life Sciences,0,13,3,2
86,45,36-45,Male,Divorced,Research & Development,Research Scientist,3,Senior,9724,9.72,116688,High (6-10K),No,0,1.924,1,0-2 yrs,0,0,Just Promoted,0,2,25,2,1,Low,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),3,Life Sciences,1,17,3,3
88,35,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,2194,2.19,26328,Low (<3K),No,0,2.06,3,3-5 yrs,2,1,1-2 yrs,2,4,5,2,1,Low,2,Medium,2,Good,3,Excellent,No,0,Travel_Frequently,1,Near (1-5),3,Medical,1,13,4,3
90,36,36-45,Male,Married,Research & Development,Research Scientist,1,Junior,3388,3.39,40656,Medium (3-6K),Yes,1,1.381,1,0-2 yrs,0,0,Just Promoted,0,0,2,0,3,High,4,Very High,2,Good,3,Excellent,Yes,1,Travel_Rarely,9,Medium (6-15),3,Medical,1,17,1,2
91,59,55+,Female,Single,Sales,Sales Executive,2,Mid-Level,5473,5.47,65676,Medium (3-6K),No,0,1.76,4,3-5 yrs,3,1,1-2 yrs,3,7,20,2,3,High,1,Low,2,Good,3,Excellent,No,0,Travel_Frequently,1,Near (1-5),1,Life Sciences,0,11,4,2
94,29,26-35,Male,Married,Research & Development,Research Scientist,1,Junior,2703,2.7,32436,Low (<3K),No,0,1.457,5,3-5 yrs,4,0,Just Promoted,4,0,6,3,2,Medium,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,2,Near (1-5),3,Life Sciences,1,23,4,3
95,31,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,2501,2.5,30012,Low (<3K),No,0,1.46,1,0-2 yrs,1,1,1-2 yrs,0,1,1,4,2,Medium,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),4,Medical,0,17,2,3
96,32,26-35,Male,Married,Research & Development,Research Scientist,2,Mid-Level,6220,6.22,74640,High (6-10K),No,0,1.653,10,6-10 yrs,4,0,Just Promoted,9,1,10,3,2,Medium,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),3,Life Sciences,2,17,2,3
97,36,36-45,Female,Married,Research & Development,Laboratory Technician,1,Junior,3038,3.04,36456,Medium (3-6K),No,0,1.171,1,0-2 yrs,0,0,Just Promoted,0,3,5,3,4,Very High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,6,Medium (6-15),3,Life Sciences,0,12,2,4
98,31,26-35,Female,Single,Research & Development,Manufacturing Director,2,Mid-Level,4424,4.42,53088,Medium (3-6K),No,0,0.984,11,11-20 yrs,7,1,1-2 yrs,8,1,11,2,4,Very High,3,High,3,Better,4,Outstanding,No,0,Travel_Rarely,8,Medium (6-15),4,Life Sciences,0,23,4,3
100,35,26-35,Male,Single,Sales,Sales Executive,2,Mid-Level,4312,4.31,51744,Medium (3-6K),No,0,1.717,15,11-20 yrs,13,2,1-2 yrs,8,0,16,2,1,Low,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),4,Marketing,0,14,2,2
101,45,36-45,Male,Married,Research & Development,Research Director,3,Senior,13245,13.24,158940,Very High (10K+),No,0,1.571,0,0-2 yrs,0,0,Just Promoted,0,4,17,3,1,Low,4,Very High,4,Best,3,Excellent,Yes,1,Travel_Rarely,6,Medium (6-15),4,Other,0,14,2,3
102,37,36-45,Male,Single,Research & Development,Research Director,3,Senior,13664,13.66,163968,Very High (10K+),No,0,1.474,5,3-5 yrs,2,0,Just Promoted,2,4,16,3,3,High,1,Low,4,Best,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),4,Medical,0,13,1,3
103,46,46-55,Male,Divorced,Human Resources,Human Resources,2,Mid-Level,5021,5.02,60252,Medium (3-6K),No,0,1.867,4,3-5 yrs,2,0,Just Promoted,2,8,16,2,2,Medium,2,Medium,3,Better,4,Outstanding,Yes,1,Travel_Rarely,5,Near (1-5),2,Medical,1,22,4,3
104,30,26-35,Male,Married,Research & Development,Laboratory Technician,2,Mid-Level,5126,5.13,61512,Medium (3-6K),No,0,1.123,10,6-10 yrs,8,3,3-5 yrs,0,1,10,1,4,Very High,4,Very High,2,Good,3,Excellent,Yes,1,Travel_Rarely,1,Near (1-5),1,Life Sciences,2,12,3,2
105,35,26-35,Male,Single,Research & Development,Research Scientist,1,Junior,2859,2.86,34308,Low (<3K),No,0,1.403,6,6-10 yrs,4,0,Just Promoted,4,1,6,3,3,High,2,Medium,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),3,Medical,0,18,1,2
106,55,46-55,Male,Married,Sales,Sales Executive,3,Senior,10239,10.24,122868,Very High (10K+),No,0,1.36,1,0-2 yrs,0,1,1-2 yrs,0,3,24,4,4,Very High,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),2,Life Sciences,1,14,4,3
107,38,36-45,Female,Divorced,Research & Development,Research Scientist,2,Mid-Level,5329,5.33,63948,Medium (3-6K),No,0,1.377,13,11-20 yrs,11,1,1-2 yrs,9,7,17,3,4,Very High,2,Medium,3,Better,3,Excellent,Yes,1,Non-Travel,6,Medium (6-15),3,Medical,3,12,4,1
110,34,26-35,Male,Married,Research & Development,Manufacturing Director,2,Mid-Level,4325,4.32,51900,Medium (3-6K),No,0,1.86,5,3-5 yrs,2,1,1-2 yrs,3,1,5,2,2,Medium,1,Low,3,Better,3,Excellent,No,0,Travel_Rarely,1,Near (1-5),2,Medical,0,15,3,3
112,56,55+,Male,Single,Research & Development,Manufacturing Director,3,Senior,7260,7.26,87120,High (6-10K),No,0,0.924,6,6-10 yrs,4,0,Just Promoted,2,4,37,3,4,Very High,4,Very High,2,Good,3,Excellent,No,0,Travel_Rarely,7,Medium (6-15),3,Life Sciences,0,11,1,1
113,23,18-25,Male,Divorced,Sales,Sales Representative,1,Junior,2322,2.32,27864,Low (<3K),No,0,1.707,0,0-2 yrs,0,0,Just Promoted,0,3,3,3,1,Low,3,High,3,Better,3,Excellent,No,0,Travel_Rarely,2,Near (1-5),1,Technical Degree,1,13,3,3
